Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	777217
Contract Runtime	396760
Other Runtime	380456
(-> nat? nat?)	167654
(-> nat? nat? nat?)	165754
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	63353
