Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	723530
Contract Runtime	369490
Other Runtime	354040
(-> nat? nat?)	153962
(-> nat? nat? nat?)	152400
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	63128
