Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	736268
Contract Runtime	381951
Other Runtime	354317
(-> nat? nat?)	161266
(-> nat? nat? nat?)	156874
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	63810
