Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	756411
Contract Runtime	387480
Other Runtime	368930
(-> nat? nat?)	163008
(-> nat? nat? nat?)	159394
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	65078
