Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	758742
Contract Runtime	390049
Other Runtime	368693
(-> nat? nat? nat?)	162871
(-> nat? nat?)	162367
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	64811
