Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	758926
Contract Runtime	390740
Other Runtime	368186
(-> nat? nat?)	163240
(-> nat? nat? nat?)	161681
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	65819
