Num. Samples	50
Num. Contracts	176
Num. Calls	0

Key	Sampled Average	Lower CI 0.95	Upper CI 0.95
Total Runtime	27656	27526.0	27787.0
Contract Runtime	0	0	0
Other Runtime	27656	27526.0	27787.0
