Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	231084
Contract Runtime	162628
Other Runtime	68456
(-> nat? nat? nat?)	78486
(-> nat? nat?)	66461
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	17680
