Num. Contracts	9000195
Num. Calls	141777741
Total Runtime	237084
Contract Runtime	162964
Other Runtime	74120
(-> nat? nat? nat?)	78020
(-> nat? nat?)	66696
(->* () (#:align (or/c (quote left) (quote right) (quote center)) #:left-pad-string non-empty-string? #:limit-marker string? #:max-width (or/c exact-nonnegative-integer? +inf.0) #:min-width exact-nonnegative-integer? #:pad-string non-empty-string? #:right-pad-string non-empty-string? #:separator string? #:width (or/c exact-nonnegative-integer? #f)) #:rest list? string?)	18246
