Num. Contracts	208
Num. Calls	32725
Total Runtime	100
Contract Runtime	50
Other Runtime	50
(-> char? string? boolean?)	21
(-> exact-positive-integer? (listof integer?))	10
(-> exact-positive-integer? exact-positive-integer? (listof exact-positive-integer?))	10
(-> char? integer?)	9
