Num. Contracts	3089
Num. Calls	1182014
Total Runtime	3910
Contract Runtime	1796
Other Runtime	2114
(-> (-> positive? boolean?) positive-stream? positive-stream?)	1380
(-> positive? positive-stream? positive-stream?)	416
