Num. Contracts	3089
Num. Calls	1182014
Total Runtime	30514
Contract Runtime	6712
Other Runtime	23802
(-> positive? positive-stream? positive-stream?)	4335
(-> (-> positive? boolean?) positive-stream? positive-stream?)	2378
