Num. Contracts	3089
Num. Calls	1182014
Total Runtime	3849
Contract Runtime	2020
Other Runtime	1830
(-> (-> positive? boolean?) positive-stream? positive-stream?)	1591
(-> positive? positive-stream? positive-stream?)	428
