Num. Contracts	3089
Num. Calls	1182014
Total Runtime	3913
Contract Runtime	1773
Other Runtime	2140
(-> (-> positive? boolean?) positive-stream? positive-stream?)	1480
(-> positive? positive-stream? positive-stream?)	294
